book_name,book_author,book_release_date,book_number_of_pages
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,5/15/2005,368
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,2/16/1993,68
Monkey Business,Sarah Mlynowski,9/24/2004,392
Liar's Poker,Michael   Lewis,10/1/1990,256
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,6/1/1993,214
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,3/1/2001,64
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,4/4/2006,256
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,2/22/2005,256
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4/3/2007,240
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,9/26/2006,256
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,3/25/2003,304
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,10/1/2004,287
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,10/17/2006,320
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,8/1/2006,250
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,12/8/2006,496
The Last Assassin (John Rain  #5),Barry Eisler,6/1/2006,338
Life of Pi,Yann Martel,5/3/2004,401
L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,11/24/2005,448
Shadows and Wind: A View of Modern Vietnam,Robert Templer,9/1/1999,400
A Million Little Pieces,James Frey,9/22/2005,515
A Million Little Pieces of Feces,Python Bonkers,2/10/2006,256
A Million Little Lies,James Pinocchio/Pablo Fenjves,3/28/2006,191
The Leadership Challenge,James M. Kouzes/Barry Z. Posner,8/7/2003,458
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,2/1/1993,193
Leadership in Organizations,Gary Yukl,7/7/2005,542
Leadership,Rudolph W. Giuliani,10/1/2002,397
Men Are from Mars  Women Are from Venus,John Gray,4/3/2012,368
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,10/21/1998,368
Men Are from Mars  Women Are from Venus,John Gray,4/3/2007,2
How to Succeed with Women,Ron  Louis/David Copeland,10/29/1998,320
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,6/25/2002,512
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,5/4/1980,468
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,3/17/2004,317
Juiced Official Strategy Guide,Doug Walsh,6/1/2005,112
The 48 Laws of Power,Robert Greene/Joost Elffers,9/1/2000,452
Gates of Fire,Steven Pressfield,9/27/2005,392
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,3/1/1992,414
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,6/18/2001,721
The Afghan Campaign,Steven Pressfield,7/1/2006,354
Tides of War,Steven Pressfield,8/28/2001,448
Last of the Amazons,Steven Pressfield,7/1/2003,400
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,4/1/2003,168
Gita on the Green,Stephen J. Rosen/Steven Pressfield,5/30/2002,176
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,4/24/2006,340
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,1/30/1973,160
Phaedrus,Plato/Robin Waterfield,1/16/2003,128
Phaedrus,Plato/C.J. Rowe,8/25/2005,176
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,12/1/1991,157
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,2/11/2019,125
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,6/15/2006,272
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,9/1/1998,233
Statesman,Plato/C.J. Rowe,3/15/1999,128
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,1/29/2004,208
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,1/30/2003,716
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,9/1/1954,622
The History (Great Minds),Herodotus/Henry Francis Cary,11/1/1992,613
The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,11/19/1998,772
The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,8/30/1970,653
The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco,1/17/1992,464
The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,3/25/1997,816
The History,Herodotus/Peter Grene,3/14/1987,710
The Iliad,Homer/Robert Fagles/Bernard Knox,4/29/1999,683
Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,3/12/1997,574
The Iliad,Homer/Robert Fitzgerald/Andrew Ford,4/3/2004,588
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,11/1/1999,1556
The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,1/30/2003,462
The Iliad,Homer/W.H.D. Rouse,8/1/1999,312
The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,9/15/2000,216
The Odyssey,Homer/Robert Fagles/Bernard Knox,11/30/2006,541
The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross,11/5/1998,515
The Odyssey,Homer/Richmond Lattimore,6/1/1999,374
The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,1/30/2003,324
The Odyssey,Homer/W.H.D. Rouse,8/1/1999,304
Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,1/1/2001,161
Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,10/1/1999,607
City Eclogue,Ed Roberson,1/30/2006,136
The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,9/2/1999,180
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,12/3/1997,272
The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,11/7/2002,1808
The Complete Works,William Shakespeare,10/13/1991,1248
Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,8/1/2005,289
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,2/1/1994,137
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,5/1/1995,272
The Valkyries,Paulo Coelho/Alan R. Clarke,9/28/1996,212
Warrior of the Light,Paulo Coelho,3/30/2004,142
The Zahir,Paulo Coelho/Margaret Jull Costa,7/3/2006,336
By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,5/23/2006,208
The Fifth Mountain,Paulo Coelho/Clifford E. Landers,4/26/2000,256
Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,6/1/2006,210
Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,12/1/2001,148
Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,5/30/2000,129
Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,5/29/2000,240
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,3/24/2015,450
History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,1/1/1919,496
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,10/1/1993,172
History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,1/1/1921,400
The Peloponnesian War,Thucydides/Steven Lattimore,6/1/1998,530
The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,7/17/1998,554
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,1/1/1923,480
Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,1/30/1989,34
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,2/15/1955,221
Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,1/15/1969,228
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,11/15/1968,307
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,8/1/2006,312
Ten Plays,Euripides/Moses Hadas/John Maclean,8/1/1990,432
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,1/15/1992,255
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,4/15/2002,264
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,3/27/2003,206
Cyclops / Alcestis / Medea,Euripides/David Kovacs,1/1/1994,432
Medea,Euripides/Donald J. Mastronarde,9/16/2002,431
The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,1/26/2006,360
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,2/22/2001,160
Plays 1: Medea/The Phoenician Women/Bacchae,Euripides/David Thompson/J. Michael Walton,11/9/2000,192
The Trojan Women and Hippolytus,Euripides,7/17/2002,64
The Bacchae of Euripides: A Communion Rite,Wole Soyinka,7/17/2004,128
Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,12/20/2001,282
Children of Heracles / Hippolytus / Andromache / Hecuba,Euripides/David Kovacs,2/15/1995,528
Alcestis,Euripides/William Arrowsmith,2/1/1990,142
Suppliant Women / Electra / Heracles,Euripides/David Kovacs,9/1/1998,464
Medea,Euripides/Georgia Ann Machemer/Michael   Collier,8/10/2006,116
Euripides: Medea,William Allan,10/31/2002,160
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,9/13/1965,69
Trojan Women / Iphigenia Among the Taurians / Ion,Euripides/David Kovacs,12/1/1999,528
Helen / Phoenician Women / Orestes,Euripides/David Kovacs,6/15/2002,605
Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,3/9/2006,144
The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,8/1/1992,672
Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides),Aeschylus/David Grene/Richmond Lattimore,5/15/1969,171
Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,2/1/1992,188
The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,10/7/2004,304
The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,2/7/1984,335
Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,9/15/1998,224
Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,8/30/1961,160
The Oresteia,Aeschylus/Ted Hughes,9/4/2004,208
Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,11/1/1997,178
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,8/1/1992,358
Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,1/22/2004,95
The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,1/20/2004,127
Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,1/1/1998,232
The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,9/24/1996,151
The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,6/17/2004,208
Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,5/15/1969,254
The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,5/1/1996,288
The Complete Plays,Sophocles/Paul Roche,3/1/2001,420
The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles/Robert Fitzgerald/Dudley Fitts,11/1/2002,259
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles/Robert Fagles/Bernard Knox,1/3/2000,430
Theban Plays,Sophocles/Peter Meineck/Paul Woodruff,3/15/2003,304
The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,10/18/1994,223
Electra and Other Plays,Sophocles/E.F. Watling,4/30/1953,218
Antigone; Oedipus the Kingn; Electra,Sophocles/Edith Hall/H.D.F. Kitto,9/17/1998,178
Oedipus Rex  (The Theban Plays  #1),Sophocles/J.E. Thomas,6/22/2006,75
The Oedipus Plays of Sophocles,Sophocles/Paul Roche,9/1/1958,390
Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,8/1/2006,214
Oedipus the King,Sophocles/Bernard Knox/Cynthia Brantley Johnson,7/1/2005,144
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,11/1/1984,624
Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,Aristophanes/Jeffrey Henderson,8/27/1996,256
The Complete Plays,Aristophanes/Moses Hadas,3/1/1984,577
Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,1/29/1998,336
Clouds/Wasps/Birds (Aristophanes 1),Aristophanes/Peter Meineck,9/15/1998,480
Lysistrata and Other Plays,Aristophanes/Alan H. Sommerstein,1/30/2003,241
Acharnians,Aristophanes/Jeffrey Henderson,5/1/2003,96
Clouds,Aristophanes/Kenneth James Dover,12/15/1969,254
Clouds/Wasps/Peace,Aristophanes/Jeffrey Henderson,12/15/1998,624
Three Plays: The Wasps / The Poet and the Women / The Frogs,Aristophanes/David B. Barrett,2/28/1964,224
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,1/6/2003,400
Frogs/Assemblywomen/Wealth (Loeb Classical Library 180),Aristophanes/Jeffrey Henderson,5/1/2002,608
Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,12/29/1983,80
Aristophanes and Athens: An Introduction to the Plays,Douglas M. MacDowell,10/1/1995,376
Lysistrata,Aristophanes/Douglass Parker,2/1/1970,98
Peace,Aristophanes/S. Douglas Olson,2/25/1999,408
Lysistrata,Aristophanes/Sarah Ruden,3/1/2003,132
The Knights / Peace / The Birds / The Assembly Women / Wealth,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett,7/27/1978,335
Genres in Dialogue: Plato and the Construct of Philosophy,Andrea Wilson Nightingale,4/13/2000,238
The Curious Incident of the Dog in the Night-Time,Mark Haddon,5/18/2004,226
The Night Gardener,George Pelecanos,8/8/2006,372
Twelfth Night,William Shakespeare,7/1/2004,272
Brokeback Mountain,Annie Proulx,12/2/2005,55
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,12/31/2002,267
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,8/27/2001,176
Formas breves,Ricardo Piglia,6/1/2001,144
El último lector,Ricardo Piglia,7/15/2009,209
Money to Burn,Ricardo Piglia/Amanda Hopkinson,8/1/2004,209
Respiración artificial,Ricardo Piglia,3/1/2008,218
Plata quemada,Ricardo Piglia,7/1/2005,227
American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,3/11/2005,664
Essentials of American and Texas Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,7/29/2005,854
El túnel,Ernesto Sabato,7/1/2003,159
The Confessions (Works of Saint Augustine 1),Augustine of Hippo/John E. Rotelle/Maria Boulding,12/1/2002,416
The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,9/12/2000,905
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,10/1/1999,144
Augustine of Hippo: A Biography,Peter R.L. Brown,11/24/2000,576
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,1/11/1958,191
Confessions  Books 1-13,Augustine of Hippo/Peter R.L. Brown/Frank Sheed,1/1/1993,296
Saint Augustine,Garry Wills,8/30/2005,176
Augustine: A Very Short Introduction,Henry Chadwick,6/7/2001,144
On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1),Augustine of Hippo/Boniface Ramsey/Edmund Hill,5/1/2004,540
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,5/1/2001,302
Confesiones de un chef,Anthony Bourdain,2/1/2003,478
The Metamorphoses of Ovid,Ovid/Allen Mandelbaum,4/15/1995,559
Metamorphoses,Ovid/David Raeburn/Denis Feeney,8/3/2004,723
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,11/17/2003,624
Ovid's Metamorphoses: Books 1-5,Ovid/William Scovil Anderson,1/15/1998,584
Ovid’s Metamorphoses: Books 6-10,Ovid/William Scovil Anderson,1/15/1978,560
Latin Via Ovid: A First Course,Norma Goldman/Jacob E. Nyenhuis,9/1/1982,524
The Art of Love and Other Poems,Ovid/J.H. Mozley/G.P. Goold,1/1/1929,400
The Poems of Exile: Tristia and the Black Sea Letters,Ovid/Peter Green,1/18/2005,451
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,1/1/1985,499
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,1/1/1977,496
Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,7/1/1995,152
Tibullus: A Commentary,Michael C.J. Putnam,11/15/1979,222
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,11/16/1997,440
Antigone,Sophocles/Reginald Gibbons/Charles Segal,9/1/2007,197
Antigone,Sophocles/Reginald Gibbons/Charles Segal,6/5/2003,208
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,8/13/1999,640
The Iliad,Homer/Robert Fitzgerald,3/19/1992,594
Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,11/1/2005,345
Reading Greek Tragedy,Simon Goldhill,8/5/1986,302
Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,4/4/2002,334
Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,1/26/1995,212
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,5/4/2006,408
Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,Daniel Pinchbeck/Lee Fukui,8/12/2003,336
Them: Adventures with Extremists,Jon Ronson,1/7/2003,336
The Men Who Stare at Goats,Jon Ronson,4/10/2006,259
Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,7/11/2005,518
Caught Inside: A Surfer's Year on the California Coast,Daniel Duane,4/10/1997,256
Into the Wild,Jon Krakauer,1/20/1997,207
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,4/1/2001,256
Wild Swans: Three Daughters of China,Jung Chang,8/12/2003,562
Wild Fire (John Corey  #4),Nelson DeMille,11/6/2006,519
Born to Be Wild,Catherine Coulter,7/25/2006,354
The Call of the Wild,Jack London/Avi,1/1/2001,172
Wild About Books,Judy Sierra/Marc Brown,8/10/2004,40
In Web Design for Libraries,Charles P. Rubenstein,12/1/2006,196
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,5/1/2002,240
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,10/1/1978,168
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,10/29/1998,168
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,7/30/1998,304
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,9/7/1995,128
Pride and Prejudice,Jane Austen,2/11/2004,333
Pride & Prejudice,Jane Austen/Vivien Jones,9/1/2005,392
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,5/5/2005,476
Pride and Prejudice,Jane Austen/Carol Howard,9/20/2004,392
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,7/10/2003,399
Iceland: Land of the Sagas,David  Roberts/Jon Krakauer,10/6/1998,160
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,10/19/1999,368
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов,9/4/2001,288
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,4/18/2006,616
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,Thomas L. Friedman,1/1/2006,495
The Avalanche Handbook,David McClung/Peter Schaerer,10/12/2006,342
Avalanche,Arthur J. Roth,1/1/1989,144
Little Women,Louisa May Alcott,4/6/2004,449
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,10/1/2004,536
Little Women,Louisa May Alcott/Paula Danziger,1/1/2000,562
Little Women,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill,9/3/2002,389
Little Women  Little Men  Jo's Boys,Louisa May Alcott/Elaine Showalter,2/17/2005,1064
Little Women,Louisa May Alcott,2/1/2004,327
A Tale of Two Cities,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,5/1/2004,496
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,7/25/2004,409
A Tale of Two Cities: Charles Dickens,SparkNotes,1/10/2002,96
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,12/1/2003,429
A Tale of Two Cities,Charles Dickens/Simon Schama,3/18/1993,432
Den of Thieves,James B. Stewart,9/1/1992,592
Den of Thieves (Cat Royal  #3),Julia Golding,1/31/2007,416
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,Charles Dickens,10/2/1993,848
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,7/9/2002,887
David Copperfield,Charles Dickens/Gish Jen,2/7/2006,928
What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,4/21/1994,416
Charles Dickens,Jane Smiley,5/13/2002,224
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,11/25/1999,830
Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,9/25/1998,176
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,1/1/1992,407
J.K.Rowling,Colleen Sexton,9/1/2005,112
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,11/1/2001,240
J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,9/26/2001,96
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,6/23/2006,768
The Santaroga Barrier,Frank Herbert,9/16/2002,256
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,9/16/2002,320
The Eyes of Heisenberg,Frank Herbert,9/16/2002,192
The Birds (Methuen Drama),Sean O'Brien,7/22/2002,96
The Frogs,Aristophanes/B.B. Rogers,1/1/2005,88
Lysistrata,Aristophanes/Jeffrey Henderson,6/21/1990,320
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,11/18/2004,276
Assembly of Women (Literary Classics),Aristophanes/Robert Mayhew,4/1/1997,124
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,2/22/1922,364
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,6/1/1991,127
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,10/1/1995,1076
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,10/1/1995,1199
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,10/15/2002,1016
The High Window (Philip Marlowe  #3),Raymond Chandler,8/12/1992,265
The Simple Art of Murder,Raymond Chandler,9/12/1988,384
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,7/12/1988,231
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,8/12/1988,379
An Evening of Long Goodbyes,Paul Murray,9/13/2005,448
The Long Goodbye: Memories of My Father,Patti   Davis,10/1/2005,205
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,10/11/2005,196
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,9/20/2004,2
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,2/24/2006,448
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,6/12/1996,588
Freedom Evolves,Daniel C. Dennett,1/27/2004,368
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,7/13/1981,424
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,6/12/1997,192
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey/Daniel C. Dennett,6/4/1999,244
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,11/21/1984,212
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,4/1/1985,512
The Illustrated A Brief History of Time,Stephen Hawking,11/1/1996,256
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,9/27/2005,176
The Universe in a Nutshell,Stephen Hawking,11/6/2001,216
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,10/4/2005,1160
Stephen Hawking's Universe: The Cosmos Explained,David Filkin/Stephen Hawking,10/9/1998,304
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,6/17/2003,224
Stephen Hawking's Universe,John Boslough,6/1/1989,160
The Nature of Space and Time,Stephen Hawking/Roger Penrose,10/8/2000,152
The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,8/16/1996,188
Falconry & Hawking,Phillip Glasier,2/1/2006,352
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,6/30/1993,859
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand/Robert Mayhew/Peter   Schwartz,2/1/2001,192
The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,8/1/1999,752
The Fountainhead,Ayn Rand/Leonard Peikoff,9/1/1996,704
